Standard Title,Standard Type,Standard Info Latest,Value,Edition Date,Standard Infotyp
Standard for Relocatable Power Taps,(Ed. 5),UL,1363,"June 02, 2023",Type: csdsproposal
Special Purpose Relocatable Power Taps,(Ed. 3),UL,1363A,"January 08, 2010",Type: outline
Outline of Investigation for Corrugated Medical Tubing (CMT) Systems,(Ed. 7),UL,1365,"August 06, 2020",Type: outline
Outline of Investigation for Insulated Bus Pipe,(Ed. 2),UL,1366,"November 23, 2020",Type: outline
Outline of Investigation for Restricted Use Substances in Metallic Components,(Ed. 2),UL,1368,"October 18, 2018",Type: outline
ANSI/CAN/UL/ULC Aboveground Piping for Flammable and Combustible Liquids / La tuyauterie hors sol pour les liquides inflammables et combustibles,(Ed. 1),UL,1369,"August 31, 2018",Type: ulstd
ANSI/CAN/UL/ULC Aboveground Piping for Flammable and Combustible Liquids / Norme sur la tuyauterie hors sol pour les liquides inflammables et combustibles,(Ed. 1),ULC,1369,"August 31, 2018",Type: canulc
Unvented Alcohol Fuel Burning Decorative Appliances,(Ed. 1),UL,1370,"July 18, 2011",Type: ulstd
FACTORY-BUILT WATER HEATING GASIFICATION APPLIANCES,(Ed. 1),ULC,1373,"March 01, 2020",N/A
Outline of Investigation for Fire Tests of Balcony Assemblies,(Ed. 1),UL,1374,"March 28, 2019",Type: outline
"Methodology for Marketing Claim Verification: Security Capabilities Verified to level Bronze/Silver/Gold/Platinum/Diamond, UL MCV 1376",(Ed. 3),UL,1376,"June 02, 2023",N/A
GAS-FIRED COMBINED HEAT AND POWER APPLIANCES (mCHP),(Ed. 1),ULC,1378,"September 18, 2020",N/A
Sustainability Outline for Portable Rechargeable Batteries and Portable Chargers,(Ed. 1),UL Environment,1378,"May 25, 2021",Type: outline
Outline of Investigation for Aerosol Duct Sprayed Sealant,(Ed. 1),UL,1381,"August 27, 2013",Type: outline
 Outline of Investigation for Sheet Metal Air Ducts with Sealed Joints,(Ed. 1),UL,1382,"April 25, 2016",Type: outline
Outline of Investigation for Tubular Cable Support Systems,(Ed. 1),UL,1383,"April 19, 2022",Type: outline
Water-Based Automatic Extinguisher Units / Unités de système d'extinction automatique à base eau,(Ed. 1),UL,1384,"May 09, 2017",Type: ulcanada
Water-Based Automatic Extinguisher Units / Unités de système d'extinction automatique à base eau,(Ed. 1),ULC,1384,"May 09, 2017",Type: ulc
Outline of Investigation for Cryogenic Submersible Pump Cable,(Ed. 3),UL,1385,"January 23, 2020",N/A
Outline of Investigation for Cryogenic Submersible Pump Cable,(Ed. 4),UL,1385,"March 23, 2023",Type: outline
Outline of Investigation for Flexible Bus Systems,(Ed. 1),UL,1386,"August 30, 2022",Type: outline
Outline of Investigation for Flexible Insulated Bus,(Ed. 1),UL,1387,"August 09, 2022",Type: outline
Plant Oil Extraction Equipment for Installation and Use in Ordinary (Unclassified) Locations and Hazardous (Classified) Locations / Equipement d'extraction d'huile végétale destiné à être installé et utilisé dans des lieux (non classés) ordinaires et des lieux (classés) dangereux,(Ed. 1),UL,1389,"November 25, 2019",Type: ululcanada
Plant Oil Extraction Equipment for Installation and Use in Ordinary (Unclassified) Locations and Hazardous (Classified) Locations / Equipement d'extraction d'huile végétale destiné à être installé et utilisé dans des lieux (non classés) ordinaires et des lieux (classés) dangereux,(Ed. 1),ULC,1389,"November 25, 2019",Type: ululcanada
Fireplace Inserts and Hearth-Mounted Stoves for Installation into Masonry Fireplaces,(Ed. 1),UL,1390,"May 05, 2023",Type: csdsproposal
Solid-Fuel Space Heaters For Installation Into Factory-Built Fireplaces,(Ed. 1),UL,1391,"September 29, 2023",Type: csdsproposal
Environmental Claim Validation Procedure (ECVP) for Marine Biodegradability,(Ed. 1),UL Environment,1393,"December 02, 2021",Type: ule
Transients Test Method,(Ed. 1),UL,1395,"September 01, 2023",Type: csdsproposal
Environmental Claim Validation Procedure (ECVP) for Rapidly Renewable Content,(Ed. 1),UL Environment,1396,"December 02, 2021",Type: ule
Environmental Claim Validation Procedure (ECVP) for Net-Zero Water,(Ed. 1),UL Environment,1397,"January 27, 2022",Type: ule
Outline of Investigation for Fault-Managed Power Systems - Part 1:  Safety Requirements,(Ed. 1),UL,1400-1,"December 19, 2022",Type: outline
Outline of Investigation for Fault-Managed Power Systems,(Ed. 1),UL,1400-2,"January 06, 2022",Type: outline
Outline of Investigation for Fault-Managed Power Systems - Part 2: Requirements for Cables,(Ed. 2),UL,1400-2,"July 13, 2023",Type: outline
"Standard for Transformers and Motor Transformers for Use in Audio-, Radio-, and Television-Type Appliances",(Ed. 7),UL,1411,"January 15, 2016",Type: ulstd
Standard for Fusing Resistors and Temperature-Limited Resistors for Radio- and Television- Type Appliances,(Ed. 5),UL,1412,"August 30, 1999",Type: ulstd
Standard for High-Voltage Components for Television-Type Appliances,(Ed. 6),UL,1413,"December 16, 1999",Type: ulstd
Standard for Overcurrent and Overtemperature Protectors for Radio- and Television- Type Appliances,(Ed. 6),UL,1416,"October 29, 1999",Type: ulstd
Standard for Special Fuses for Radio- and Television- Type Appliances,(Ed. 6),UL,1417,"October 18, 1999",Type: ulstd
Standard for Professional Video and Audio Equipment,(Ed. 4),UL,1419,"February 26, 2016",Type: ulstd
Standard for Cables for Power-Limited Fire-Alarm Circuits,(Ed. 4),UL,1424,"January 22, 2015",Type: ulstd
Standard for Cables for Non-Power-Limited Fire-Alarm Circuits,(Ed. 4),UL,1425,"December 05, 2014",N/A
Standard for Cables for Non-Power-Limited Fire-Alarm Circuits,(Ed. 3),UL,1425,"January 26, 2015",Type: ulstd
Electrical Cables for Boats,(Ed. 5),UL,1426,"December 06, 2010",Type: ulstd
Standard for Pullout Switches,(Ed. 4),UL,1429,"April 18, 2000",Type: ulstd
Standard for Personal Hygiene and Health Care Appliances,(Ed. 3),UL,1431,"March 23, 2011",Type: ulstd
Standard for Thermistor-Type Devices,(Ed. 1),UL,1434,"April 03, 1998",Type: ulstd
Outline of Investigation for Thermistor-Type Devices for Use in Electric Vehicles,(Ed. 1),UL,1434A,"March 28, 2022",Type: outline
Standard for Outlet Circuit Testers and Similar Indicating Devices,(Ed. 6),UL,1436,"September 06, 2016",Type: ulstd
Standard for Electrical Analog Instruments - Panel Board Types,(Ed. 4),UL,1437,"December 12, 2006",Type: ulstd
Standard for Tests for Sharpness of Edges on Equipment,(Ed. 5),UL,1439,"April 21, 2015",Type: ulstd
Coated Electrical Sleeving,(Ed. 5),UL,1441,"June 21, 2021",Type: ulcsa
Systems of Insulating Materials - General / Systèmes de matériaux d'isolation - Généralités,(Ed. 8),UL,1446,"November 13, 2019",Type: ulstd
Outline of Investigation for Dry Type Transformer Insulation Systems Rated Above 600V,(Ed. 3),UL,1446A,"June 18, 2019",Type: outline
Standard for Electric Lawn Mowers,(Ed. 6),UL,1447,"October 13, 2017",Type: ulstd
Surge Protective Devices,(Ed. 5),UL,1449,"January 08, 2021",Type: ulstd
Outline of Investigation for Electric Vehicle (EV) Surge Protective Devices,(Ed. 2),UL,1449A,"December 06, 2019",N/A
"Standard for Motor-Operated Air Compressors, Vacuum Pumps, and Painting Equipment",(Ed. 4),UL,1450,"May 05, 2010",Type: ulstd
Standard for Electric Booster and Commercial Storage Tank Water Heaters,(Ed. 6),UL,1453,"March 29, 2016",Type: ulstd
MOBILE HOME PIPE HEATING CABLE,(Ed. 4),UL,1462,"June 21, 2006",Type: outline
Direct Acting Pressure Reducing and Pressure Restricting Valves,(Ed. 6),UL,1468,"July 19, 2023",Type: ulstd
Standard for Strength of Body and Hydraulic Pressure Loss Testing of Backflow Special Check Valves,(Ed. 2),UL,1469,"December 07, 2006",Type: ulstd
Solid-State Dimming Controls,(Ed. 2),UL,1472,"September 25, 2015",Type: ulcsa
Standard for Adjustable Drop Nipples for Sprinkler Systems,(Ed. 4),UL,1474,"October 30, 1998",N/A
Standard for Adjustable Drop Nipples for Sprinkler Systems,(Ed. 5),UL,1474,"September 27, 2004",Type: ulstd
Adjustable Drop Nipples for Sprinkler Systems,(Ed. 1),ULC,1474,"November 01, 2003",N/A
Outline of Investigation for Compressed Gas Shutoff Valves,(Ed. 4),UL,1477,"July 25, 2014",Type: outline
Standard for Fire Pump Relief Valves,(Ed. 4),UL,1478,"May 13, 2004",Type: ulstd
Fire Pump Relief Valves,(Ed. 5),UL,1478,"March 17, 2023",Type: ulstd
Pressure Relief Valves for Sprinkler Systems,(Ed. 1),UL,1478A,"May 20, 2013",Type: ulstd
Standard for Fire Tests of Penetration Firestops,(Ed. 4),UL,1479,"June 10, 2015",Type: ulstd
"Speakers for Fire Alarm and Signaling Systems, Including Accessories",(Ed. 7),UL,1480,"May 26, 2023",Type: ululc
Speakers for Commercial and Professional Use,(Ed. 1),UL,1480A,"February 03, 2016",Type: ulstd
Standard for Power Supplies for Fire-Protective Signaling Systems,(Ed. 5),UL,1481,"December 12, 2006",Type: ulstd
Standard for Solid-Fuel Type Room Heaters,(Ed. 7),UL,1482,"April 25, 2011",Type: ulstd
Standard for Residential Gas Detectors,(Ed. 5),UL,1484,"April 20, 2016",Type: ulstd
Standard for Quick Opening Devices for Dry Pipe Valves for Fire Protection Service,(Ed. 3),UL,1486,"January 08, 2004",Type: ulstd
Standard for Quick Opening Devices for Dry Pipe Valves for Fire-Protection Service,(Ed. 2),UL,1486,"July 31, 2003",N/A
Quick Opening Devices for Dry Pipe Valves for Fire Protection Service,(Ed. 4),UL,1486,"September 21, 2023",Type: ulstd
Battery Storage Cabinets,(Ed. 1),UL,1487,"October 04, 2023",Type: csdsproposal
Outline of Investigation for Seasonal Use Modular Trees,(Ed. 4),UL,1488,"March 02, 2020",Type: outline
Fire Resistant Pipe Protection Systems Carrying Combustible Liquids,(Ed. 1),UL,1489,"September 22, 2016",Type: ulstd
Audio-Video Products and Accessories,(Ed. 2),UL,1492,"April 30, 1996",Type: ulstd
Outline of Investigation for Underground Low-Energy Circuit Cable,(Ed. 6),UL,1493,"September 04, 2015",Type: outline
Environmental Claim Validation Procedure (ECVP) for Biodegradability and Compostability Correlated to Managed Waste Disposal Methods,(Ed. 1),UL Environment,1497,"February 23, 2023",N/A
Guidance Document for Gas Detection Equipment,(Ed. 1),UL,1498,"November 08, 2022",Type: csdsproposal
Recommended Practice for Implementing Software Updates to Appliances,(Ed. 1),UL,1499,"December 15, 2022",Type: outline
Standard for Ignition-Protection Test for Marine Products,(Ed. 3),UL,1500,"September 05, 1997",Type: ulstd
Standard for Hybrid Personal Flotation Devices,(Ed. 3),UL,1517,"April 20, 2007",Type: ulstd
Outline of Investigation for Sprinkler Systems Wire,(Ed. 2),UL,1551,"August 18, 2022",Type: outline
Electrically Isolated Semiconductor Devices,(Ed. 7),UL,1557,"December 06, 2022",Type: ulstd
Standard for Metal-Enclosed Low-Voltage Power Circuit Breaker Switchgear,(Ed. 5),UL,1558,"February 18, 2016",Type: ulstd
Standard for Insect-Control Equipment - Electrocution Type,(Ed. 5),UL,1559,"March 21, 2011",Type: ulstd
Standard for Dry-Type General Purpose and Power Transformers,(Ed. 4),UL,1561,"March 02, 2011",Type: ulstd
"Standard for Transformers, Distribution, Dry-Type - Over 600 Volts",(Ed. 4),UL,1562,"January 25, 2013",Type: ulstd
"Standard for Electric Spas, Equipment Assemblies, and Associated Equipment",(Ed. 6),UL,1563,"July 16, 2009",Type: ulstd
"Standard for Electric Spas, Equipment Assemblies, and Associated Equipment",(Ed. 5),UL,1563,"October 30, 2009",N/A
Standard for Industrial Battery Chargers,(Ed. 2),UL,1564,"December 27, 1999",N/A
Standard for Industrial Battery Chargers,(Ed. 4),UL,1564,"May 14, 2015",Type: ulstd
Positioning Devices,(Ed. 6),UL,1565,"July 29, 2022",Type: ulcsa
Standard for Receptacles and Switches Intended for Use with Aluminum Wire,(Ed. 5),UL,1567,"March 16, 2012",Type: ulstd
Standard for Metal-Clad Cables,(Ed. 5),UL,1569,"May 04, 2018",Type: ulance
Standard for Stage and Studio Luminaires and Connector Strips,(Ed. 4),UL,1573,"May 29, 2003",Type: ulstd
Standard for Track Lighting Systems,(Ed. 3),UL,1574,"September 07, 2004",Type: ulstd
Flashlights and Lanterns,(Ed. 2),UL,1576,"May 13, 2022",Type: ulcsa
Standard for Optical Isolators,(Ed. 5),UL,1577,"April 25, 2014",Type: ulstd
"Reference Standard for Electrical Wires, Cables, and Flexible Cords",(Ed. 4),UL,1581,"October 31, 2001",Type: ulstd
"Methodology for Marketing Claim Verification: Smart System/Product Verified to level Silver/Gold/Platinum/Diamond, UL MCV 1587",(Ed. 1),UL,1587,"February 02, 2023",N/A
Outline for Roof and Gutter De-icing Cable Units,(Ed. 4),UL,1588,"May 24, 2002",Type: outline
Standard for Sewing and Cutting Machines,(Ed. 4),UL,1594,"April 18, 2008",Type: ulstd
Luminaires,(Ed. 3),UL,1598,"September 17, 2008",Type: ulcsance
Luminaires,(Ed. 4),UL,1598,"August 28, 2018",Type: ulcsance
Luminaires,(Ed. 5),UL,1598,"March 26, 2021",Type: ulcsance
Standard for Supplemental Requirements for Luminaires for Installation on Marine Vessels,(Ed. 1),UL,1598A,"December 04, 2000",Type: ulstd
Standard for Supplemental Requirements for Luminaire Reflector Kits for Installation on Previously Installed Fluorescent,(Ed. 1),UL,1598B,"December 04, 2000",Type: ulstd
Light-Emitting Diode (LED) Retrofit Luminaire Conversion Kits,(Ed. 1),UL,1598C,"January 16, 2014",Type: ulstd
Light-Emitting Diode (LED) Retrofit Luminaire Conversion Kits,(Ed. 2),UL,1598C,"September 08, 2023",Type: ulstd
"Standard for  Gasoline-Engine-Powered, Rigid-Cutting-Member Edgers and Edger-Trimmers",(Ed. 4),UL,1602,"January 28, 2009",Type: ulstd
Standard for Central-Station Burglar-Alarm Units,(Ed. 4),UL,1610,"July 05, 2016",Type: ulstd
"Standard for Wall Protectors, Floor Protectors, and Hearth Extensions",(Ed. 2),UL,1618,"October 23, 2015",Type: ulstd
Resdential Sprinklers for Fire Protection Service,(Ed. 1),ULC,1626,"November 01, 2003",N/A
Standard for Digital Alarm Communicator System Units,(Ed. 4),UL,1635,"April 13, 2018",Type: ulstd
Standard for Home Health Care Signaling Equipment,(Ed. 5),UL,1637,"September 21, 2017",Type: ulstd
"Visible Signaling Devices for Fire Alarm and Signaling Systems, Including Accessories",(Ed. 6),UL,1638,"April 27, 2023",Type: ululc
Visual Signal Appliances for General Signaling Use,(Ed. 1),UL,1638A,"June 22, 2016",Type: ulstd
Standard for Portable Power-Distribution Equipment,(Ed. 4),UL,1640,"November 14, 2016",Type: ulstd
Standard for Installation and Classification of Residential Burglar Alarm Systems,(Ed. 5),UL,1641,"January 26, 2015",Type: ulstd
Lithium Batteries,(Ed. 6),UL,1642,"September 29, 2020",Type: ulstd
Standard for Motor-Operated Massage and Exercise Machines,(Ed. 6),UL,1647,"August 03, 2015",Type: ulstd
Portable Power Cable,(Ed. 1),UL,1650,"January 28, 2015",Type: ulstd
Standard for Optical Fiber Cable,(Ed. 4),UL,1651,"May 15, 2015",Type: ulstd
Flexible Metallic Tubing,(Ed. 3),UL,1652,"June 20, 2006",Type: outline
Electrical Nonmetallic Tubing,(Ed. 3),UL,1653,"February 15, 2019",Type: ulcsance
Standard for Community-Antenna Television Cables,(Ed. 2),UL,1655,"April 21, 2009",Type: ulstd
Standard for Attachment Plug Blades for Use in Cord Sets and Power-Supply Cords,(Ed. 3),UL,1659,"April 13, 2005",Type: ulstd
Liquid-Tight Flexible Nonmetallic Conduit,(Ed. 6),UL,1660,"January 30, 2019",Type: ulcsance
Standard for Test for Flame Propagation Height of Electrical and Optical-Fiber Cables Installed Vertically in Shafts,(Ed. 3),UL,1666,"August 03, 1999",N/A
Standard Test for Flame Propagation Height of Electrical and Optical-Fiber Cables Installed Vertically in Shafts,(Ed. 5),UL,1666,"February 16, 2007",Type: ulstd
Subject for Medium Voltage Circuit Breakers and Metal-Clad Switchgear,(Ed. 1),UL,1670,"December 20, 1999",N/A
Standard for Electric Space Heating Cables,(Ed. 3),UL,1673,"September 13, 2010",Type: ulstd
Standard for Conductive-Path andDischarge Path Resistors,(Ed. 3),UL,1676,"September 01, 2000",Type: ulstd
Subject for Communications Cable Assemblies,(Ed. 1),UL,1677,"October 03, 2001",N/A
"Standard for Household, Commercial, and Institutional-Use Carts, Stands and Entertainment Centers for Use with Audio and/or Video Equipment",(Ed. 6),UL,1678,"June 18, 2019",Type: ulstd
Subject for ISO 9000 Registration Program,(Ed. 1),UL,1679,"January 16, 2002",N/A
Outline of Investigation for Stage and Lighting Cables,(Ed. 1),UL,1680,"November 18, 2003",Type: outline
Standard for Wiring Device Configurations,(Ed. 4),UL,1681,"April 10, 2012",Type: ulstd
"Plugs, Receptacles, and Cable Connectors of the Pin and Sleeve Type",(Ed. 5),UL,1682,"February 15, 2017",Type: ulcsance
Outline of Investigation for Electric Heating Products For Installation Under Floor Coverings,(Ed. 2),UL,1683,"September 20, 2013",Type: outline
Standard for Vertical-Tray Fire-Propagation and Smoke-Release Test for Electrical and Optical-Fiber Cables,(Ed. 4),UL,1685,"July 07, 2015",Type: ulstd
Standard for Pin and Sleeve Configurations,(Ed. 4),UL,1686,"August 17, 2012",Type: ulstd
Pin and Sleeve Configurations,(Ed. 5),UL,1686,"September 05, 2023",Type: ulcsance
Standard for Data-Processing Cable,(Ed. 4),UL,1690,"July 07, 2015",Type: ulstd
Single Pole Locking-Type Separable Connectors,(Ed. 2),UL,1691,"September 29, 2021",Type: ulcsa
Standard for Polymeric Materials - Coil Forms,(Ed. 2),UL,1692,"June 30, 1999",Type: ulstd
Standard for Electric Radiant Heating Panels and Heating Panel Sets,(Ed. 3),UL,1693,"September 13, 2010",Type: ulstd
Standard for Tests for Flammability of Small Polymeric Component Materials,(Ed. 3),UL,1694,"February 18, 2002",Type: ulstd
Mechanical Protection Tubing (MPT) and Fittings,(Ed. 3),UL,1696,"March 31, 2021",Type: ulcsance
Subject 1697,(Ed. 1),UL,1697,"May 09, 2003",N/A
Personal Emergency Response Equipment,(Ed. 1),UL,1698,"February 06, 2017",N/A
Standard for Arc-Fault Circuit-Interrupters,(Ed. 3),UL,1699,"May 03, 2017",Type: ulstd
Outline of Investigation for Outlet Branch Circuit Arc-Fault Circuit-Interrupters	,(Ed. 2),UL,1699A,"March 17, 2010",Type: outline
Photovoltaic (PV) DC Arc-Fault Circuit Protection	,(Ed. 1),UL,1699B,"August 22, 2018",Type: ulstd
System Combination Arc-Fault Circuit Protection,(Ed. 1),UL,1699C,"September 05, 2014",N/A
Standard for Flat-Plate Photovoltaic Modules and Panels,(Ed. 3),UL,1703,"March 15, 2002",Type: ulstd
FLAT-PLATE PHOTOVOLTAIC MODULES AND PANELS,(Ed. 2),ULC,1703,"May 01, 2018",Type: ord
Rapid Rise Fire Tests of Protection Materials for Structural Steel,(Ed. 6),UL,1709,"August 08, 2022",Type: ulstd
Standard for Amplifiers for Fire Protective Signaling Systems,(Ed. 4),UL,1711,"December 28, 2006",Type: ulstd
Tests for Ampacity of Insulated Electrical Conductors Installed in the Fire Protective System,(Ed. 4),UL,1712,"December 12, 2006",Type: outline
"Standard for Pressure Pipe and Couplings, Glass Fiber-Reinforced, for Underground Fire Service",(Ed. 4),UL,1713,"May 08, 2017",Type: ulstd
"Pressure Pipe and Couplings, Glass Fiber-Reinforced, for Underground Fire Service",(Ed. 1),ULC,1713,"December 03, 2003",N/A
Standard for Fire Test of Interior Finish Material,(Ed. 3),UL,1715,"September 09, 1997",Type: ulstd
Fire Tests for Electrical Circuit Protective Systems,(Ed. 3),UL,1724,"December 07, 2006",Type: outline
Standard for Automatic Drain Valves for Standpipe Systems,(Ed. 3),UL,1726,"April 18, 2001",Type: ulstd
Standard for Commercial Electric Personal Grooming Appliances,(Ed. 5),UL,1727,"May 21, 2012",Type: ulstd
Standard for Smoke Detector Monitors and Accessories for Individual Living Units of Multifamily Residences and Hotel/Motel Rooms,(Ed. 4),UL,1730,"December 29, 2006",Type: ulstd
"Standard for Venting Systems for Gas-Burning Appliances, Categories II, III, and IV",(Ed. 3),UL,1738,"October 04, 2010",Type: ulstd
"Venting Systems for Gas-Burning Appliances, Categories II, III, and IV",(Ed. 4),UL,1738,"September 21, 2023",Type: ulstd
Standard for Pilot-Operated Pressure-Control Valves for Fire-Protection Service,(Ed. 6),UL,1739,"April 28, 2017",Type: ulstd
Standard for Robots and Robotic Equipment,(Ed. 4),UL,1740,"January 26, 2018",Type: ulstd
"Standard for Inverters, Converters, Controllers and Interconnection System Equipment for Use With Distributed Energy Resources",(Ed. 2),UL,1741,"January 28, 2010",Type: ulstd
"Inverters, Converters, Controllers and Interconnection System Equipment for Use With Distributed Energy Resources",(Ed. 3),UL,1741,"September 28, 2021",Type: ulstd
Standard for External Corrosion Protection Systems For Steel Underground Storage Tanks,(Ed. 3),UL,1746,"January 17, 2007",Type: ulstd
Early Suppression Fast-Response Sprinklers,(Ed. 1),ULC,1767,"December 03, 2003",N/A
Standard for Cylinder Valves,(Ed. 5),UL,1769,"June 25, 2015",Type: ulstd
Standard for Termination Boxes,(Ed. 6),UL,1773,"October 09, 2018",Type: ulstd
Standard for High-Pressure Cleaning Machines,(Ed. 3),UL,1776,"June 07, 2002",Type: ulstd
Standard for Chimney Liners,(Ed. 5),UL,1777,"October 02, 2015",Type: ulstd
Uninterruptible Power Systems,(Ed. 5),UL,1778,"June 13, 2014",Type: ulcsa
Outline for Direct Connect Systems for Solid Fuel Burning Appliances,(Ed. 3),UL,1783,"April 05, 1999",Type: outline
Standard for Air Leakage Tests of Door Assemblies and Other Opening Protectives,(Ed. 4),UL,1784,"February 17, 2015",Type: ulstd
Direct Plug-In Nightlights,(Ed. 4),UL,1786,"December 17, 2014",Type: ulcsa
Standard for Hydromassage Bathtubs,(Ed. 5),UL,1795,"September 02, 2016",Type: ulstd
Outline of Investigation for Power Distribution Centers for Communications Equipment,(Ed. 4),UL,1801,"May 10, 2023",Type: outline
Standard for Factory Follow-Up on Third Party Certified Portable Fire Extinguishers,(Ed. 4),UL,1803,"February 15, 2012",Type: ulstd
Standard for Laboratory Hoods and Cabinets,(Ed. 1),UL,1805,"June 07, 2002",Type: ulstd
Standard for Ducted Heat Recovery Ventilators,(Ed. 4),UL,1812,"May 03, 2013",Type: ulstd
Standard for Nonducted Heat Recovery Ventilators,(Ed. 5),UL,1815,"February 29, 2012",Type: ulstd
Standard for Fire Test of Pneumatic Tubing for Flame and Smoke Characteristics,(Ed. 3),UL,1820,"March 28, 1999",N/A
Standard for Fire Test of Pneumatic Tubing for Flame and Smoke Characteristics,(Ed. 4),UL,1820,"October 15, 2004",Type: ulstd
ANSI/CAN/UL Standard for Thermoplastic Sprinkler Pipe and Fittings for Fire Protection Service / ANSI/CAN/UL Norme relative aux tuyaux et raccords de gicleurs thermoplastiques pour le service de protection contre les incendies,(Ed. 4),UL,1821,"July 30, 2019",Type: ulstd
Outline of Investigation for Thermoplastic Sprinkler Pipe and Fittings for Low Pressure Dry Pipe Applications,(Ed. 1),UL,1821A,"December 16, 2005",Type: outline
Evaluating Compatibility of Products with CPVC Piping,(Ed. 1),UL,1821B,"May 06, 2016",N/A
"Outline of Investigation for Electric Motors and Generators for Use in Class I, Division 2, Class I, Zone 2, Class II, Division 2 and Zone 22 Hazardous (Classified) Locations",(Ed. 6),UL,1836,"November 14, 2022",Type: outline
Standard for Low Voltage Landscape Lighting Systems,(Ed. 3),UL,1838,"January 13, 2003",Type: ulstd
Standard for Automotive Battery Booster Cables,(Ed. 2),UL,1839,"August 31, 2016",Type: ulstd
Outline of Investigation for Flexible Secondary Containments for Flammable and Combustible Liquids,(Ed. 3),UL,1854,"April 13, 2023",Type: outline
Underground Fuel Tank Internal Retrofit Systems,(Ed. 2),UL,1856,"June 15, 2020",Type: outline
Outline of Investigation for Power-Operated Chemical Pumps and Compressors,(Ed. 7),UL,1861,"October 05, 2021",Type: outline
Standard for Communications-Circuit Accessories,(Ed. 3),UL,1863,"February 06, 2004",N/A
Standard for Communications-Circuit Accessories,(Ed. 4),UL,1863,"May 14, 2004",Type: ulstd
Standard for Isolating Signal and Feedback Transformers for Use in Electronic Equipment,(Ed. 4),UL,1876,"June 25, 2015",Type: ulstd
Standard for Fire Test of Plastic Sprinkler Pipe for Visible Flame and Smoke Characteristics,(Ed. 3),UL,1887,"October 15, 2004",Type: ulstd
Standard for Commercial Filters for Cooking Oil,(Ed. 1),UL,1889,"August 30, 1996",Type: ulstd
Standard for Wire Bulletin Compounds,(Ed. 1),UL,1893,"February 22, 1999",N/A
Subject 1893,(Ed. 2),UL,1893,"November 12, 2013",N/A
Subject 1893,(Ed. 18),UL,1893,"February 24, 2015",N/A
Standard for Uplift Tests for Roof Covering Systems,(Ed. 7),UL,1897,"September 23, 2015",Type: ulstd
Solid-State Fan Speed Controls,(Ed. 5),UL,1917,"June 17, 2022",Type: ulstd
Standard for Electric Plumbing Accessories,(Ed. 2),UL,1951,"July 22, 2011",Type: ulstd
Outline of Investigation for Power Distribution Blocks,(Ed. 7),UL,1953,"July 01, 2020",Type: outline
Standard for Refrigerant Recovery/Recycling Equipment,(Ed. 4),UL,1963,"June 01, 2011",Type: ulstd
Standard for Signaling Devices for the Hearing Impaired,(Ed. 3),UL,1971,"November 29, 2002",Type: ulstd
ANSI/CAN/UL Batteries for Use in Stationary and Motive Auxiliary Power Applications / Batteries destinées aux appareils stationnaires et à l'alimentation auxiliaire pour véhicules,(Ed. 3),UL,1973,"February 25, 2022",N/A
ANSI/CAN/UL Standard for Evaluation for Repurposing Batteries / Norme sur les évaluation pour la transformation des batteries,(Ed. 1),UL,1974,"October 25, 2018",Type: ulstd
Standard for Fire Tests for Foamed Plastics Used for Decorative Purposes,(Ed. 3),UL,1975,"November 27, 2006",Type: ulstd
 Outline of Investigation for Crimp Tools for use with Connecting Devices,(Ed. 4),UL,1976,"February 01, 2018",Type: outline
"Component Connectors for Use in Data, Signal, Control and Power Applications",(Ed. 4),UL,1977,"December 07, 2022",Type: ulstd
Standard for Grease Ducts,(Ed. 2),UL,1978,"April 01, 2004",N/A
Standard for Grease Ducts,(Ed. 1),UL,1978,"July 31, 2001",N/A
Standard for Grease Ducts,(Ed. 4),UL,1978,"December 13, 2010",Type: ulstd
Standard for Central-Station Automation Systems,(Ed. 3),UL,1981,"October 29, 2014",Type: ulstd
STANDARD FOR SIGNAL RECEIVING CENTRE AUTOMATION SYSTEM / STANDARD FOR SIGNAL RECEIVING CENTRE AUTOMATION SYSTEM,(Ed. 1),ULC,1981,"May 13, 2020",Type: canulc
Subject for Drinking Water Program,(Ed. 1),UL,1983,"December 11, 2000",N/A
Standard for Standby Batteries,(Ed. 5),UL,1989,"October 02, 2013",Type: ulstd
Valve Regulated or Vented Batteries with Aqueous Electrolytes,(Ed. 6),UL,1989,"September 21, 2023",Type: ulstd
Nonmetallic Underground HDPE Conduit with Conductors,(Ed. 4),UL,1990,"May 10, 2023",Type: ulstd
Self-Ballasted Lamps and Lamp Adapters,(Ed. 5),UL,1993,"January 27, 2017",Type: ulcsance
Self-Ballasted Lamps and Lamp Adapters,(Ed. 6),UL,1993,"February 17, 2023",Type: csdsproposal
Standard for Luminous Egress Path Marking Systems,(Ed. 4),UL,1994,"May 29, 2015",Type: ulstd
Heating and Cooling Equipment,(Ed. 5),UL,1995,"July 31, 2015",Type: ulcsa
Standard for Electric Duct Heaters,(Ed. 4),UL,1996,"August 31, 2009",Type: ulstd
Standard for Software in Programmable Components,(Ed. 3),UL,1998,"December 18, 2013",Type: ulstd
Outline of Investigation for LP-Gas Cylinder Assemblies,(Ed. 6),UL,2003,"May 29, 2020",Type: outline
Standard for Halon 1211 Recovery/Recharge Equipment,(Ed. 3),UL,2006,"June 10, 1998",N/A
Standard for Halon 1211 Recovery/Recharge Equipment,(Ed. 5),UL,2006,"September 08, 2011",Type: ulstd
