Standard Title,Standard Type,Standard Info Latest,Edition Date,Standard Infotyp
Rapid Rise Fire Tests of Protection Materials for Structural Steel,(Ed. 6),UL,"August 08, 2022",Type: ulstd
Standard for Amplifiers for Fire Protective Signaling Systems,(Ed. 4),UL,"December 28, 2006",Type: ulstd
Tests for Ampacity of Insulated Electrical Conductors Installed in the Fire Protective System,(Ed. 4),UL,"December 12, 2006",Type: outline
"Standard for Pressure Pipe and Couplings, Glass Fiber-Reinforced, for Underground Fire Service",(Ed. 4),UL,"May 08, 2017",Type: ulstd
"Pressure Pipe and Couplings, Glass Fiber-Reinforced, for Underground Fire Service",(Ed. 1),ULC,"December 03, 2003",N/A
Standard for Fire Test of Interior Finish Material,(Ed. 3),UL,"September 09, 1997",Type: ulstd
Fire Tests for Electrical Circuit Protective Systems,(Ed. 3),UL,"December 07, 2006",Type: outline
Standard for Automatic Drain Valves for Standpipe Systems,(Ed. 3),UL,"April 18, 2001",Type: ulstd
Standard for Commercial Electric Personal Grooming Appliances,(Ed. 5),UL,"May 21, 2012",Type: ulstd
Standard for Smoke Detector Monitors and Accessories for Individual Living Units of Multifamily Residences and Hotel/Motel Rooms,(Ed. 4),UL,"December 29, 2006",Type: ulstd
"Standard for Venting Systems for Gas-Burning Appliances, Categories II, III, and IV",(Ed. 3),UL,"October 04, 2010",Type: ulstd
"Venting Systems for Gas-Burning Appliances, Categories II, III, and IV",(Ed. 4),UL,"September 21, 2023",Type: ulstd
Standard for Pilot-Operated Pressure-Control Valves for Fire-Protection Service,(Ed. 6),UL,"April 28, 2017",Type: ulstd
Standard for Robots and Robotic Equipment,(Ed. 4),UL,"January 26, 2018",Type: ulstd
"Standard for Inverters, Converters, Controllers and Interconnection System Equipment for Use With Distributed Energy Resources",(Ed. 2),UL,"January 28, 2010",Type: ulstd
"Inverters, Converters, Controllers and Interconnection System Equipment for Use With Distributed Energy Resources",(Ed. 3),UL,"September 28, 2021",Type: ulstd
Standard for External Corrosion Protection Systems For Steel Underground Storage Tanks,(Ed. 3),UL,"January 17, 2007",Type: ulstd
Early Suppression Fast-Response Sprinklers,(Ed. 1),ULC,"December 03, 2003",N/A
Standard for Cylinder Valves,(Ed. 5),UL,"June 25, 2015",Type: ulstd
Standard for Termination Boxes,(Ed. 6),UL,"October 09, 2018",Type: ulstd
Standard for High-Pressure Cleaning Machines,(Ed. 3),UL,"June 07, 2002",Type: ulstd
Standard for Chimney Liners,(Ed. 5),UL,"October 02, 2015",Type: ulstd
Uninterruptible Power Systems,(Ed. 5),UL,"June 13, 2014",Type: ulcsa
Outline for Direct Connect Systems for Solid Fuel Burning Appliances,(Ed. 3),UL,"April 05, 1999",Type: outline
Standard for Air Leakage Tests of Door Assemblies and Other Opening Protectives,(Ed. 4),UL,"February 17, 2015",Type: ulstd
Direct Plug-In Nightlights,(Ed. 4),UL,"December 17, 2014",Type: ulcsa
Standard for Hydromassage Bathtubs,(Ed. 5),UL,"September 02, 2016",Type: ulstd
Outline of Investigation for Power Distribution Centers for Communications Equipment,(Ed. 4),UL,"May 10, 2023",Type: outline
Standard for Factory Follow-Up on Third Party Certified Portable Fire Extinguishers,(Ed. 4),UL,"February 15, 2012",Type: ulstd
Standard for Laboratory Hoods and Cabinets,(Ed. 1),UL,"June 07, 2002",Type: ulstd
Standard for Ducted Heat Recovery Ventilators,(Ed. 4),UL,"May 03, 2013",Type: ulstd
Standard for Nonducted Heat Recovery Ventilators,(Ed. 5),UL,"February 29, 2012",Type: ulstd
Standard for Fire Test of Pneumatic Tubing for Flame and Smoke Characteristics,(Ed. 3),UL,"March 28, 1999",N/A
Standard for Fire Test of Pneumatic Tubing for Flame and Smoke Characteristics,(Ed. 4),UL,"October 15, 2004",Type: ulstd
ANSI/CAN/UL Standard for Thermoplastic Sprinkler Pipe and Fittings for Fire Protection Service / ANSI/CAN/UL Norme relative aux tuyaux et raccords de gicleurs thermoplastiques pour le service de protection contre les incendies,(Ed. 4),UL,"July 30, 2019",Type: ulstd
Outline of Investigation for Thermoplastic Sprinkler Pipe and Fittings for Low Pressure Dry Pipe Applications,(Ed. 1),UL,"December 16, 2005",Type: outline
Evaluating Compatibility of Products with CPVC Piping,(Ed. 1),UL,"May 06, 2016",N/A
"Outline of Investigation for Electric Motors and Generators for Use in Class�I, Division 2, Class I, Zone 2, Class II, Division 2 and Zone 22 Hazardous (Classified) Locations",(Ed. 6),UL,"November 14, 2022",Type: outline
Standard for Low Voltage Landscape Lighting Systems,(Ed. 3),UL,"January 13, 2003",Type: ulstd
Standard for Automotive Battery Booster Cables,(Ed. 2),UL,"August 31, 2016",Type: ulstd
Outline of Investigation for Flexible Secondary Containments for Flammable and Combustible Liquids,(Ed. 3),UL,"April 13, 2023",Type: outline
Underground Fuel Tank Internal Retrofit Systems,(Ed. 2),UL,"June 15, 2020",Type: outline
Outline of Investigation for Power-Operated Chemical Pumps and Compressors,(Ed. 7),UL,"October 05, 2021",Type: outline
Standard for Communications-Circuit Accessories,(Ed. 3),UL,"February 06, 2004",N/A
Standard for Communications-Circuit Accessories,(Ed. 4),UL,"May 14, 2004",Type: ulstd
Standard for Isolating Signal and Feedback Transformers for Use in Electronic Equipment,(Ed. 4),UL,"June 25, 2015",Type: ulstd
Standard for Fire Test of Plastic Sprinkler Pipe for Visible Flame and Smoke Characteristics,(Ed. 3),UL,"October 15, 2004",Type: ulstd
Standard for Commercial Filters for Cooking Oil,(Ed. 1),UL,"August 30, 1996",Type: ulstd
Standard for Wire Bulletin Compounds,(Ed. 1),UL,"February 22, 1999",N/A
Subject 1893,(Ed. 2),UL,"November 12, 2013",N/A
Subject 1893,(Ed. 18),UL,"February 24, 2015",N/A
Standard for Uplift Tests for Roof Covering Systems,(Ed. 7),UL,"September 23, 2015",Type: ulstd
Solid-State Fan Speed Controls,(Ed. 5),UL,"June 17, 2022",Type: ulstd
Standard for Electric Plumbing Accessories,(Ed. 2),UL,"July 22, 2011",Type: ulstd
Outline of Investigation for Power Distribution Blocks,(Ed. 7),UL,"July 01, 2020",Type: outline
Standard for Refrigerant Recovery/Recycling Equipment,(Ed. 4),UL,"June 01, 2011",Type: ulstd
Standard for Signaling Devices for the Hearing Impaired,(Ed. 3),UL,"November 29, 2002",Type: ulstd
ANSI/CAN/UL Batteries for Use in Stationary and Motive Auxiliary Power Applications / Batteries destin�es aux appareils stationnaires et � l'alimentation auxiliaire pour v�hicules,(Ed. 3),UL,"February 25, 2022",N/A
ANSI/CAN/UL Standard for Evaluation for Repurposing Batteries / Norme sur les �valuation pour la transformation des batteries,(Ed. 1),UL,"October 25, 2018",Type: ulstd
Standard for Fire Tests for Foamed Plastics Used for Decorative Purposes,(Ed. 3),UL,"November 27, 2006",Type: ulstd
 Outline of Investigation for Crimp Tools for use with Connecting Devices,(Ed. 4),UL,"February 01, 2018",Type: outline
"Component Connectors for Use in Data, Signal, Control and Power Applications",(Ed. 4),UL,"December 07, 2022",Type: ulstd
Standard for Grease Ducts,(Ed. 2),UL,"April 01, 2004",N/A
Standard for Grease Ducts,(Ed. 1),UL,"July 31, 2001",N/A
Standard for Grease Ducts,(Ed. 4),UL,"December 13, 2010",Type: ulstd
Standard for Central-Station Automation Systems,(Ed. 3),UL,"October 29, 2014",Type: ulstd
STANDARD FOR SIGNAL RECEIVING CENTRE AUTOMATION SYSTEM / STANDARD FOR SIGNAL RECEIVING CENTRE AUTOMATION SYSTEM,(Ed. 1),ULC,"May 13, 2020",Type: canulc
Subject for Drinking Water Program,(Ed. 1),UL,"December 11, 2000",N/A
Standard for Standby Batteries,(Ed. 5),UL,"October 02, 2013",Type: ulstd
Valve Regulated or Vented Batteries with Aqueous Electrolytes,(Ed. 6),UL,"September 21, 2023",Type: ulstd
Nonmetallic Underground HDPE Conduit with Conductors,(Ed. 4),UL,"May 10, 2023",Type: ulstd
Self-Ballasted Lamps and Lamp Adapters,(Ed. 5),UL,"January 27, 2017",Type: ulcsance
Self-Ballasted Lamps and Lamp Adapters,(Ed. 6),UL,"February 17, 2023",Type: csdsproposal
Standard for Luminous Egress Path Marking Systems,(Ed. 4),UL,"May 29, 2015",Type: ulstd
Heating and Cooling Equipment,(Ed. 5),UL,"July 31, 2015",Type: ulcsa
Standard for Electric Duct Heaters,(Ed. 4),UL,"August 31, 2009",Type: ulstd
Standard for Software in Programmable Components,(Ed. 3),UL,"December 18, 2013",Type: ulstd
Outline of Investigation for LP-Gas Cylinder Assemblies,(Ed. 6),UL,"May 29, 2020",Type: outline
Standard for Halon 1211 Recovery/Recharge Equipment,(Ed. 3),UL,"June 10, 1998",N/A
Standard for Halon 1211 Recovery/Recharge Equipment,(Ed. 5),UL,"September 08, 2011",Type: ulstd
Shatter Containment Of Lamps For Use In Regulated Food Establishments,(Ed. 1),UL,"June 21, 2011",Type: ulstd
Outline of Investigation for Machinery,(Ed. 7),UL,"November 10, 2022",Type: outline
Outline of Investigation for Machinery,(Ed. 3),UL,"August 04, 2023",Type: csdsproposal
Standard for General-Purpose Signaling Devices and Systems,(Ed. 2),UL,"December 23, 2008",Type: ulstd
Standard for Fixed and Location-Dedicated Electric Room Heaters,(Ed. 4),UL,"September 30, 2015",Type: ulstd
Standard for Cable Routing Assemblies and Communications Raceways,(Ed. 5),UL,"March 25, 2014",Type: ulstd
Subject for Plumbing Products Classified in Accordance with International Publications,(Ed. 1),UL,"February 23, 1999",N/A
Standard for Single and Multiple Station Carbon Monoxide Alarms,(Ed. 4),UL,"March 31, 2017",Type: ulstd
Flexible Connector Piping for Fuels,(Ed. 1),UL,"May 06, 2016",Type: ulstd
Standard for Folding Rollaway Tables,(Ed. 2),UL,"February 11, 2015",Type: ulstd
Standard for Fire Test for Heat and Visible Smoke Release for Discrete Products and Their Accessories Installed in Air-Handling Spaces,(Ed. 4),UL,"October 02, 2013",Type: ulstd
Fire Test for Heat and Visible Smoke Release for Discrete Products and Their Accessories Installed in Air-Handling Spaces,(Ed. 5),UL,"September 14, 2023",Type: ulstd
Standard for Commercial Closed-Circuit Television Equipment,(Ed. 4),UL,"June 28, 2019",Type: ulstd
RESIDENTIAL PIPE HEATING CABLE,(Ed. 4),UL,"June 21, 2006",Type: outline
National Industrial Security Systems,(Ed. 5),UL,"November 05, 2010",Type: ulstd
Household and Commercial Batteries,(Ed. 3),UL,"November 17, 2021",Type: ulstd
Outline of Investigation for Safety of Lithium-ion Power Banks,(Ed. 3),UL,"August 20, 2020",Type: outline
HIGH-SECURITY ELECTRONIC LOCKS,(Ed. 1),UL,"March 31, 2005",Type: outline
Standard for Adapters and Cylinder Connection Devices for Portable LP-Gas Cylinder Assemblies,(Ed. 3),UL,"July 30, 2015",Type: ulstd
ENCLOSURES FOR USE IN HAZARDOUS (CLASSIFIED) LOCATIONS,(Ed. 2),UL,"December 04, 2006",Type: outline
Outline for Battery Holders,(Ed. 2),UL,"October 09, 2001",Type: outline
Standard for Gas and Vapor Detectors and Sensors,(Ed. 2),UL,"March 05, 2013",Type: ulstd
CO Gas Test Kit for Gas and Vapor Detectors and Sensors,(Ed. 1),UL,"September 04, 2008",Type: outline
Standard for Tests for Fire Resistance of Building Joint Systems,(Ed. 3),UL,"July 23, 2004",N/A
Standard for Tests for Fire Resistance of Building Joint Systems,(Ed. 5),UL,"August 26, 2015",Type: ulstd
Standard for Fire Resistant Tanks for Flammable and Combustible Liquids,(Ed. 1),UL,"March 14, 2000",Type: ulstd
Standard for Protected Aboveground Tanks for Flammable and Combustible Liquids,(Ed. 2),UL,"December 30, 1997",Type: ulstd
Standard for Vehicle Battery Adapters,(Ed. 3),UL,"November 22, 2011",Type: ulstd
Subject for Pre-Engineered Wet-Chemical Extinguishing System Units,(Ed. 1),UL,"August 21, 1998",N/A
Standard for Commercial/Industrial Gas and/or Oil-Burning Assemblies With Emission Reduction Equipment,(Ed. 3),UL,"October 27, 2006",Type: ulstd
Reference Standard for Double Insulation Systems for Use in Electronic Equipment,(Ed. 4),UL,"December 28, 2006",Type: ulstd
Standard for Field Erected Boiler Assemblies,(Ed. 2),UL,"April 18, 2006",Type: ulstd
Standard for Low Voltage Lighting Systems,(Ed. 2),UL,"December 07, 2015",Type: ulstd
Standard for Overheating Protection for Motors,(Ed. 1),UL,"March 28, 1997",Type: ulstd
Subject for Venting Systems for Use with Gas-Fired Vent Appliances,(Ed. 1),UL,"June 03, 2009",Type: outline
Processed Solid-Fuel Firelogs and Firestarters / Norme sur les b�ches et les allume-feu pr�fabriqu�s en combustible solide,(Ed. 4),UL,"November 07, 2017",Type: ululcanada
"Processed Solid-Fuel Firelogs and Firestarters / ANSI/CAN/UL/ULC Processed Solid-Fuel Firelogs and Firestarters
",(Ed. 4),ULC,"November 07, 2017",Type: ululcanada
Inert Gas Clean Agent Extinguishing System Units / Unit�s de syst�me d'extinction aux agents propres � gaz inerte,(Ed. 3),UL,"May 09, 2017",Type: ulcanada
Inert Gas Clean Agent Extinguishing System Units / Unit�s de syst�me d'extinction aux agents propres � gaz inerte,(Ed. 3),ULC,"May 09, 2017",Type: ulstd
Halocarbon Clean Agent Fire Extinguishers,(Ed. 3),UL,"January 05, 2017",Type: ululc
Outline of Investigation for Compressed Gas Cylinder Safety Caps,(Ed. 1),UL,"October 16, 2013",Type: outline
ANSI/CAN/UL/ULC Special Purpose Nonmetallic Containers and Tanks for Specific Combustible or Noncombustible Liquids / Conteneurs et r�servoirs non m�talliques � usage sp�cial pour liquides combustibles ou non combustibles sp�cifiques,(Ed. 1),UL,"January 26, 2021",Type: ulstd
Special Purpose Nonmetallic Containers and Tanks for Specific Combustible or Noncombustible Liquids / Conteneurs et r�servoirs non m�talliques � usage sp�cial pour liquides combustibles ou non combustibles sp�cifiques,(Ed. 1),ULC,"January 26, 2021",Type: ulc
Electric Clothes Washing Machines and Extractors,(Ed. 4),UL,"May 28, 2018",Type: ulcsa
Electric Clothes Dryers,(Ed. 5),UL,"April 06, 2018",Type: ulcsa
Electric Clothes Dryers,(Ed. 6),UL,"July 30, 2021",Type: ulcsa
Standard for Clothes Dryer Transition Duct,(Ed. 1),UL,"December 11, 2013",Type: ulstd
Standard for Neon Transformers and Power Supplies,(Ed. 2),UL,"April 06, 2016",Type: ulstd
Commercial Wood-Fired Baking Ovens - Refractory Type,(Ed. 1),UL,"May 23, 2014",Type: ulstd
COMMERCIAL WOOD-FIRED BAKING OVENS - REFRACTORY TYPE,(Ed. 1),ULC,"June 01, 2013",Type: ord
Halocarbon Clean Agent Extinguishing System Units / Unit�s de syst�me d'extinction aux agents propres � l'halocarbure,(Ed. 3),UL,"May 10, 2017",Type: ulcanada
Halocarbon Clean Agent Extinguishing System Units / Unit�s de syst�me d'extinction aux agents propres � l'halocarbure,(Ed. 3),ULC,"May 10, 2017",Type: ulc
Outline of Investigation for Plastic Pipe and Fitting Assemblies used as Self-Contained Automatic Extinguisher Units for Total Flooding Applications,(Ed. 2),UL,"June 21, 2018",Type: outline
Water Mist Nozzles for Fire Protection Service,(Ed. 2),UL,"March 09, 2021",Type: ulstd
Outline for Marking and Coding Equipment,(Ed. 2),UL,"April 10, 2020",Type: outline
Standard for Refrigerants,(Ed. 2),UL,"April 21, 2006",Type: ulstd
Subject for Modular Scaffold Stage Platforms and Modular Suspended Work Platforms,(Ed. 1),UL,"August 11, 1999",N/A
Standard for Tests for Fire Resistive Cables,(Ed. 2),UL,"August 29, 2017",Type: ululc
Standard for Stationary Engine Generator Assemblies,(Ed. 2),UL,"June 01, 2012",Type: ulstd
ANSI/CAN/UL/ULC Stationary Engine Generator Assemblies / Groupes �lectrog�nes stationnaires,(Ed. 3),UL,"September 29, 2020",Type: ulstd
Stationary Engine Generator Assemblies / Groupes �lectrog�nes stationnaires,(Ed. 3),ULC,"September 29, 2020",Type: canulc
Outline of Investigation for Fire Containment Testing of Stationary Engine Generator Enclosures,(Ed. 1),UL,"May 31, 2019",Type: outline
Standard for Carbon Monoxide (CO) Emission Rate of Portable Generators,(Ed. 2),UL,"January 09, 2018",Type: ulstd
DC Charging Equipment for Electric Vehicles,(Ed. 3),UL,"December 15, 2022",Type: ulcsance
Standard for Solvent Distillation Units,(Ed. 3),UL,"July 08, 2010",Type: ulstd
Outline of Investigation for Oil/Water Separators,(Ed. 3),UL,"October 31, 2019",Type: outline
Standard for Impact Resistance of Prepared Roof Covering Materials,(Ed. 2),UL,"January 25, 2010",Type: ulstd
Impact Resistance of Roofing Systems,(Ed. 1),UL,"August 02, 2019",Type: ulstd
Standard for Tests of Fire Resistive Grease Duct Enclosure Assemblies,(Ed. 2),UL,"August 13, 2010",Type: ulstd
Standard for Cables and Cable-Fittings For Use In Hazardous (Classified) Locations,(Ed. 4),UL,"September 30, 2013",Type: ulstd
Standard for Overfilling Prevention Devices,(Ed. 2),UL,"February 16, 2007",Type: ulstd
Standard for Personnel Protection Systems for Electric Vehicle (EV) Supply Circuits; Part 1: General Requirements,(Ed. 2),UL,"September 07, 2012",Type: ulcsance
Standard for Personnel Protection Systems for Electric Vehicle (EV) Supply Circuits: Particular Requirements for Protection Devices for Use in Charging Systems,(Ed. 2),UL,"September 07, 2012",Type: ulcsance
Multi-Point Interconnection Power Cable Assemblies for Industrial Machinery,(Ed. 1),UL,"April 16, 2019",Type: ulstd
Standard for Cable Assemblies and Fittings for Industrial Control and Signal Distribution,(Ed. 3),UL,"October 02, 2018",Type: ulstd
"Hardware for the Support of Conduit, Tubing, and Cable",(Ed. 2),UL,"February 20, 2015",Type: ulcsa
Standard for Below-Grade Vaults for Flammable Liquid Storage Tanks,(Ed. 2),UL,"December 28, 2006",Type: ulstd
Subject for Hygiene Equipment for Use in Meat and Poultry Plants,(Ed. 1),UL,"September 30, 1998",N/A
"Subject for Marina Fuel Storage, Piping, and Dispensing Systems",(Ed. 1),UL,"May 14, 2002",N/A
Outline of Investigation for Hydrogen Fuel Dispensing Systems ,(Ed. 2),UL,"March 06, 2020",N/A
Standard for Instrumentation Tray Cable,(Ed. 3),UL,"March 30, 2017",Type: ulstd
"Standard for Plugs, Receptacles, and Couplers for Electric Vehicles",(Ed. 4),UL,"November 20, 2017",Type: ulcsance
Adapters for use with Electric Vehicle Couplers,(Ed. 1),UL,"July 28, 2023",N/A
Receptacle Closures,(Ed. 3),UL,"May 17, 2021",Type: ulstd
Nonmetallic Sheathed Cable Interconnects,(Ed. 1),UL,"June 29, 2001",Type: outline
IDENTIFICATION TESTS FOR JACKET AND INSULATION MATERIALS USED IN PLENUM CABLES,(Ed. 1),UL,"December 13, 2005",Type: outline
ANSI/CAN/UL/ULC Standard for Aboveground Nonmetallic Tanks for Fuel Oil and Other Combustible Liquids / Norme sur les r�servoirs non m�talliques hors sol pour le mazout et autres liquides combustibles,(Ed. 1),UL,"May 17, 2018",Type: ulstd
ANSI/CAN/UL/ULC Standard for Aboveground Nonmetallic Tanks for Fuel Oil and Other Combustible Liquids / ANSI/CAN/UL/ULC Norme sur les r�servoirs non m�talliques hors sol pour le mazout et autres liquides combustibles,(Ed. 1),ULC,"May 17, 2018",Type: ulstd
Subject for Network-Powered Broadband Communications Cable,(Ed. 1),UL,"August 07, 2003",N/A
CABLES FOR NETWORK-POWERED BROADBAND COMMUNICATIONS SYSTEMS,(Ed. 2),UL,"July 15, 2005",Type: outline
Fuel Cell Modules for Use in Portable and Stationary Equipment,(Ed. 2),UL,"August 20, 2012",Type: outline
Electric Vehicle Cable,(Ed. 1),UL,"May 09, 2022",Type: ulcsance
Subject 2264 Gaseous Hydrogen Generation Appliances,(Ed. 1),UL,"July 05, 2012",N/A
Outline of Investigation for Water Electrolysis Type Hydrogen Generators,(Ed. 2),UL,"December 02, 2021",Type: outline
Subject 2265 - Fuel Cell Power Units and Fuel Storage Containers for Portable Devices,(Ed. 1),UL,"July 05, 2012",N/A
"Subject 2266 Subject 2266 Electromagnetic Compatibility, Electrical Safety, and Physical Protection of Stationary and Portable Fuel Cell Power Systems for Use with Commercial Network Telecommunications Equipment",(Ed. 1),UL,"December 20, 2004",N/A
Standard for Fuel Cell Power Systems for Installation in Industrial Electric Trucks,(Ed. 3),UL,"March 26, 2020",Type: ulstd
Outline of Investigation for Optical Fiber / Communications / Signaling / Coaxial Cable Outlet Boxes,(Ed. 3),UL,"June 03, 2021",Type: outline
ANSI/CAN/UL/ULC Standard for Batteries for Use In Light Electric Vehicle (LEV) Applications / Norme sur les batteries �lectriques pour v�hicules �lectriques l�gers,(Ed. 2),UL,"September 07, 2018",Type: ulstd
Batteries for Use In Light Electric Vehicle (LEV) Applications / Batteries �lectriques pour v�hicules �lectriques l�gers,(Ed. 3),UL,"September 14, 2023",N/A
"Batteries for Use in Light Electric Vehicle (LEV) Applications
 / Norme sur les batteries �lectriques pour v�hicules �lectriques l�gers",(Ed. 2),ULC,"September 07, 2018",Type: canulc
Batteries for Use In Light Electric Vehicle (LEV) Applications / Batteries �lectriques pour v�hicules �lectriques l�gers,(Ed. 3),ULC,"September 14, 2023",N/A
ANSI/CAN/UL Standard for Electrical Systems for Personal E-Mobility Devices / Syst�mes �lectriques pour les appareils de mobilit� personnelle,(Ed. 1),UL,"November 21, 2016",Type: ulstd
Other Recognized Document for Electrical Systems for Self-BalancingScooters,(Ed. 1),UL,"June 03, 2016",N/A
Festoon Cable,(Ed. 2),UL,"September 12, 2019",Type: outline
Outline of Investigation for Recreational Vehicle Cable,(Ed. 5),UL,"May 07, 2021",Type: outline
Flexible Motor Supply Cable and Wind Turbine Tray Cable,(Ed. 3),UL,"August 16, 2010",Type: outline
Flexible Motor Supply Cable and Wind Turbine Tray Cable,(Ed. 4),UL,"May 11, 2018",Type: outline
Outline of Investigation for Megawatt Charging Configured Electric Vehicle Couplers,(Ed. 1),UL,"September 25, 2023",Type: outline
Environmental Claim Validation Procedure (ECVP) for Resistance to Microbial Growth,(Ed. 3),UL Environment,"December 14, 2021",Type: ule
"Standard for Exhibition Display Units, Fabrication and Installation",(Ed. 1),UL,"February 09, 2001",Type: ulstd
Subject for Plumbing Fixtures,(Ed. 1),UL,"September 01, 1998",N/A
Subject for Transit System Equipment,(Ed. 1),UL,"January 29, 1999",N/A
Subject 2316 Internal Combustion Engine-Powered Industrial/Commercial Floor Cleaning Machines,(Ed. 1),UL,"August 28, 2003",N/A
Subject for Electric-Battery-Powered Cleaning Machines,(Ed. 1),UL,"October 10, 2002",N/A
Subject for Solid-State Light Emitting Components,(Ed. 1),UL,"May 08, 1998",N/A
Outline for Personnel Electrostatic Control Devices,(Ed. 1),UL,"November 23, 1999",Type: outline
Standard for Infrared Thermometers,(Ed. 3),UL,"May 31, 2016",Type: ulstd
Standard for Fire Tests of Storage Pallets,(Ed. 2),UL,"July 28, 2010",Type: ulstd
Standard for Material Lifts,(Ed. 2),UL,"April 14, 2010",Type: ulstd
Standard for Spray Nozzles for Fire-Protection Service,(Ed. 1),UL,"January 03, 2003",N/A
Standard for Spray Nozzles for Fire-Protection Service,(Ed. 2),UL,"June 04, 2004",Type: ulstd
Spray Nozzles for Fire-Protection Service,(Ed. 1),ULC,"November 01, 2003",N/A
Outline of Investigation for Nozzle Adaptors with Integral Filter for Fire Protection Service,(Ed. 1),UL,"July 24, 2017",Type: outline
Standard for Safety for Single- and Multi-Layer Insulated Winding Wire,(Ed. 3),UL,"October 10, 2016",Type: ulstd
Outline of Investigation for Fire Tests of Pre-Lit Artificial Seasonal Use Trees and Other Seasonal Decorative Items,(Ed. 2),UL,"August 28, 2013",Type: outline
Standard for Test Methods for Determining the Combustibility Characteristics of Plastics Used in Semi-Conductor Tool Construction,(Ed. 1),UL,"May 10, 2000",Type: ulstd
CUSTOM-BUILT KIOSKS,(Ed. 2),UL,"March 01, 2011",Type: outline
Solid State Overcurrent Protectors,(Ed. 2),UL,"April 19, 2021",Type: ulstd
Standard for Fire Exposure Testing of Intermediate Bulk Containers for Flammable and Combustible Liquids,(Ed. 2),UL,"January 31, 2012",Type: ulstd
Outline for Hip and Ridge Shingles,(Ed. 1),UL,"September 08, 2008",N/A
HIP AND RIDGE SHINGLES,(Ed. 2),UL,"December 15, 2006",Type: outline
Standard for Flexible Lighting Products,(Ed. 2),UL,"May 03, 2017",Type: ulstd
EQUIPMENT WITH REMOTE FEEDING TELECOMMUNICATION CIRCUITS INTENDED FOR BACKWARDS COMPATIBILITY IN LEGACY TELECOMMUNICATION EQUIPMENT,(Ed. 2),UL,"September 06, 2002",Type: outline
Equipment with Remote Feeding Telecommunication Circuits Intended for Backwards Compatibility in Legacy Telecommunication Equipment,(Ed. 1),UL,"May 09, 2003",N/A
Standard for Adhesives for Use in Heating and Cooling Appliances to Secure Thermal Insulation,(Ed. 1),UL,"December 27, 2002",Type: ulstd
Outline of Investigation for Active and Passive Optical Cable Assemblies and Connectors,(Ed. 1),UL,"October 11, 2022",Type: outline
Subject for Aboveground Secondarily-Contained Piping for Flammable Liquids,(Ed. 1),UL,"December 08, 2003",N/A
"Audio/Video, Information and Communication Technology Equipment Cabinet, Enclosure and Rack Systems",(Ed. 1),UL,"March 11, 2015",Type: ulstd
ELECTRICALLY CONDUCTIVE CORROSION RESISTANT COMPOUNDS,(Ed. 1),UL,"May 07, 2004",Type: outline
Standard for Belowground Reinforced Thermosetting Resin Conduit (RTRC) and Fittings,(Ed. 1),UL,"July 30, 2009",Type: ulcsa
ULTRAVIOLET CURING EQUIPMENT FOR COMMERCIAL USE,(Ed. 2),UL,"May 31, 2006",Type: outline
Durability of Fire Resistive Coatings and Materials,(Ed. 2),UL,"October 15, 2014",Type: ulstd
DRY SYSTEM WATER DELIVERY TIME CALCULATION PROGRAMS,(Ed. 2),UL,"October 12, 2005",Type: outline
Outline of Investigation for Spill Containment for Stationary Acid and Alkaline Electrolyte Battery Systems ,(Ed. 2),UL,"April 03, 2020",Type: outline
Standard for Outdoor Seasonal-Use Cord-Connected Wiring Devices,(Ed. 2),UL,"November 14, 2014",Type: ulstd
Outline for Component - Connector Housings,(Ed. 1),UL,"October 03, 2003",Type: outline
Standard for Wall- and Ceiling-Mounts and Accessories,(Ed. 2),UL,"June 18, 2019",Type: ulstd
Flexible Sprinkler Hose with Fittings for Fire Protection Service,(Ed. 4),UL,"September 07, 2023",Type: ulstd
UNITARY BOILER ROOM SYSTEMS,(Ed. 1),UL,"October 13, 2004",Type: outline
Subject 2447 Containment Sumps,(Ed. 1),UL,"March 30, 2012",Type: outline
ELECTRIC SWIMMING POOL AND SPA COVER OPERATORS,(Ed. 1),UL,"April 21, 2006",Type: outline
Prefabricated Wiring Assemblies Prefabricated Wiring Assemblies,(Ed. 1),UL,"March 29, 2006",N/A
Insulated Multi-Pole Splicing Wire Connectors,(Ed. 1),UL,"August 22, 2008",Type: ulcsa
Nonshielded Cable,(Ed. 1),UL,"September 29, 2015",Type: ulstd
Environmental Claim Validation Procedure (ECVP) for Recyclability of Paper-Based Products,(Ed. 1),UL Environment,"May 01, 2018",Type: ule
CEMENTITIOUS MATERIALS USED FOR RESURFACING SMOKE CHAMBER OF MASONRY FIREPLACES,(Ed. 1),UL,"April 08, 2005",Type: outline
Refractory Panels For Masonry Fireplaces,(Ed. 1),UL,"April 15, 2005",Type: outline
Aboveground Reinforced Thermosetting Resin Conduit (RTRC) and Fittings,(Ed. 2),UL,"February 05, 2019",Type: ulcsance
Standard for Supplemental Requirements for Extra Heavy Wall Reinforced Thermosetting Resin Conduit (RTRC) and Fittings,(Ed. 1),UL,"November 21, 2011",Type: ulstd
Air Dispersion Systems,(Ed. 1),UL,"July 12, 2016",Type: ulstd
"Solid Fuel-Fired Hydronic Heating Appliances, Water Heaters and Boilers	",(Ed. 1),UL,"December 22, 2009",Type: ulstd
